title,price,location,url,page
ESP LTD TE-254,17.000 TL,"İzmir
Konak",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-esp-ltd-te-254-1224787853/detay,3
İbanez GRG121DX mat siyah,10.000 TL,"İstanbul
Küçükçekmece",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grg121dx-mat-siyah-1224563309/detay,3
ibanez grx40 elektro gitar,5.500 TL,"Adana
Yüreğir",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grx40-elektro-gitar-1224561738/detay,3
TEMİZ YAMAHA PACİFİCA PAC120H,15.000 TL,"Afyonkarahisar
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-temiz-yamaha-pacifica-pac120h-1224781943/detay,3
TEMİZ YAMAHA PACİFİCA PAC120H,15.000 TL,"Afyonkarahisar
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-temiz-yamaha-pacifica-pac120h-1224781943/detay,4
midex strat kasa elektro gitar,2.500 TL,"Adana
Yüreğir",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-midex-strat-kasa-elektro-gitar-1224560741/detay,4
Charvel dst st-1 Star kasa elektro gitar,44.999 TL,"Balıkesir
Edremit",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-charvel-dst-st-1-star-kasa-elektro-gitar-1224781688/detay,4
IBANEZ GRX20 GİTAR,7.700 TL,"İstanbul
Sultanbeyli",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grx20-gitar-1224777679/detay,4
Sire S7 gitar,27.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sire-s7-gitar-1224776390/detay,4
2004 ESP Custom Shop KH-2 Kirk Hammet Signature,185.000 TL,"Kocaeli
Gebze",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-2004-esp-custom-shop-kh-2-kirk-hammet-signature-1206591024/detay,4
Epiphone SG,15.000 TL,"İzmir
Buca",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-epiphone-sg-1224762671/detay,4
IBANEZ AZES40-BK HSS Elektro Gitar,11.000 TL,"İstanbul
Sancaktepe",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-azes40-bk-hss-elektro-gitar-1224760953/detay,4
Campbell Marka Elektro Gitar,4.750 TL,"İstanbul
Üsküdar",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-campbell-marka-elektro-gitar-1218776948/detay,4
Ashland by Crafter,3.250 TL,"İstanbul
Eyüpsultan",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ashland-by-crafter-1224752936/detay,4
Suhr M2 roasted maple neck,135.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-suhr-m2-roasted-maple-neck-1224750283/detay,4
Fender Squier Elektro Gitar ve Amfi,7.500 TL,"İstanbul
Esenyurt",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-squier-elektro-gitar-ve-amfi-1224744803/detay,4
